24 ;twenty4
250 cc ;ind250cc
301 Bullseye ;bullseye
ACDC ;acd
Addams Family Special Collectors Edition The ;tafg
Addams Family The ;taf
Adventures of Rocky and Bullwinkle and Friends ;rab
Airborne ;abv106
Airborne Avenger ;aavenger
Algar ;algar
Alien Star ;alienstr
Als Garage Band Goes On World Tour ;wrldtou2
Amazing Spiderman The ;spiderm7
America 1492 ;america
Andromeda ;andromea
Antar ;antar
Apollo 13 ;apollo13
Arena ;arena
Asteroid Annie ;astannie
Atlantis ;atlantis
Attack and Revenge From Mars ;afm
Attack from Mars ;afm
Attila The Hun ;attila
Austin Powers ;austin
Avatar ;avr
Back to the Future ;bttf
Bad Cats ;bcats
Bad Girls ;badgirls
Bally Game Show The ;gs
Banzai Run ;bnzai
Barracora ;barra
Batman ;bdk
Batman ;btmn
Batman Forever ;batmanf
Baywatch ;baywatch
Beat The Clock ;beatclck
Big Bang Bar ;bbb109
Big Buck Hunter ;bbh
Big Guns ;bguns
Black Hole ;blckhole
Black Knight 2000 ;bk2k
Black Knight ;bk
Black Pyramid ;blakpyra
Black Rose ;br
Blackwater 100 ;black100
BMX ;bmx
Bone Busters ;bonebstr
Bounty Hunter ;bountyh
Bram Stokers Dracula ;drac
Breakshot ;bsv103
Buck Rogers ;buckrgrs
Bugs Bunnys Birthday Ball ;bbnny
Cactus Canyon ;cc
Cactus Jack ;cactjack
Canasta 86 ;canasta
Car Hop ;carhop
Catacomb ;catacofp
Champion Pub The ;cp
Checkpoint ;ckpt
Chicago Cubs Triple Play ;triplay
Cirqus Voltaire ;cv
Class of 1812 ;clas1812
Clown ;clown
Clown ;pinclown
Comet ;comet
Congo ;congo
Contact ;cntct
Corvette ;corv
Cosmic Gunfight ;csmic
Creature from the Black Lagoon ;cftbl
Cueball Wizard ;cueball
Cyclone ;cycln
Cyclopes ;cyclopes
Deadly Weapon ;deadweap
Defender ;dfndr
Demolition Man ;dm
Diamond Lady ;diamond
Diner ;diner
Dirty Harry ;dh
Doctor Who ;dw
Dr Dude ;dd
Dracula ;draculfp
Dragon ;dragon
Dungeons and Dragons ;dungdrag
Earthshaker ;esha
Eight Ball Champ ;eballchp
Eight Ball Deluxe ;eballdlx
El Dorado City of Gold ;eldorado
Elektra ;elektraa
Elvira and the Party Monsters ;eatpm
Elvis ;elvis
Embryon ;embryond
Empire Strikes Back ;empsback
Escape ;escape
Escape from the Lost World ;esclwrld
Evel Knievel ;evelknie
F14 Tomcat ;f14
Faeton ;faeton
Family Guy ;fg
Farfalla ;farfalla
Fathom ;fathom
Fire ;fire
Fireball 2 ;fball
Firepower ;frpwr
Firepower II ;fpwr2
Firepower 2 ;fpwr2
Fish Tales ;ft
FJ ;fjholden
Flicker ;flicker
Flight 2000 ;flightfp
Flintstones The ;fs
Flipper Football ;ffv104
Force II ;forceii
Frankenstein ;frankst
Freddy A Nightmare On Elm Street ;freddy
Funhouse ;fh
Gamatron ;gamatron
Games The ;thegames
Getaway  High Speed 2 ;gw
Gilligans Island ;gi
Gladiators ;gladiatr
Godzilla ;godzilla
Goin Nuts ;goinnuts
Gold Ball ;goldbalc
Goldeneye ;gldneye
Gork ;gork
Grand Lizard ;grand
Grand Prix ;gprix
Grand Slam ;granslam
Guns and Roses ;gnr
Harlem Globetrotters On Tour ;hglbtrtb
Harley Davidson ;harl
Harley Davidson ;hd
Haunted House ;hh
Hercules ;hercules
High Roller Casino ;hirolcas
High Speed ;hs
Hook ;hook
Hurricane ;hurr
Independence Day ;id4
Indiana Jones ;ij
Indianapolis 500 ;i500
JackBot ;jb
Johnny Mnemonic ;jm
Jokerz;jokrz
Judge Dredd ;jd
Junk Yard ;jy
Jurassic Park ;jupk
King Kong ;kiko
Kings Of Steel ;kosteel
Kiss ;kissb
Krull ;krull
Laser War ;lwar
Last Action Hero ;lah
Lethal Weapon 3 ;lw3
Lord Of The Rings ;lotr
Lost in space ;lostspc
Lost World Jurassic Park The ;jplstw22
Machine The  Bride Of PinBot ;bop
The Machine; bop
Bride of pinbot;bop
Magic ;magic
Magic Castle ;mcastle
Mata Hari ;matahari
Medieval Madness ;mm
Metallica ;mtl
Miss World ;kissb
Monopoly ;monopoly
Monster Bash ;mb
Mousin Around ;mousn
Mustang ;mt
Mystery Castle ;mystcasa
Nascar ;nascar
NBA Fastbreak ;nbaf
Nine Ball ;ninebalb
No FearDangerous Sports ;nf
No Good Gofers ;ngg
Party Animal ;prtyanim
Party Zone ;pz
Penthouse ;penthouse
Phantom Of The Opera The ;poto
Pinball Champ 82 ;pinchamp
Pinbot ;pb
Playboy 35th Anniversary ;play
Playboy ;playboyb
Playboy ;playboys
Pole Position ;poleposn
Police Force ;polic
Popeye Saves the Earth ;pop
Power Play ;pwerplay
QBerts Quest ;qbquest
Radical ;radcl
Raven ;raven
Red and Teds Road Show ;rs
Rescue 911 ;rescu911
Ripleys Believe It or Not ;ripleys
Riverboat Gambler ;rvrbt
Kings Road Test;rdkng
Robocop ;robo
Robot ;robot
Rollercoaster Tycoon ;rctycn
Rollergames ;rollr
Safe Cracker ;sc
Secret Service ;ssvc
Shadow The ;ts
Sharkeys Shootout ;shrkysht
Simpsons Pinball Party The ;simpprty
Simpsons The ;simp
Sinbad ;sinbad
Skateball ;skatebll
Ski Jump ;skijump
Sopranos ;sopranos
South Park ;sprk
Space Station ;spstn
SpiderMan ;sman
Spirit ;spirit
Split Second ;splitsfp
Spy Hunter ;spyhunta
Star Trek 25th Anniversary ;trek
Star Trek ;st
Star Trek The Next Generation ;sttng
STTNG;sttng
Star Wars ;stwr
Star Wars Trilogy ;swtril43
Stargate ;stargat4
Starship Troopers ;startrp
Strange science ;strngsci
Street fighter II ;sfight2
Striker Xtreme ;strikext
Super Bowl ;suprbowl
Super Mario Bros ;smb3
Super Mario Bros. Mushroom World ;smbmush
Superman ;superman
Swords of Fury ;swrds
T2  Judgement Day ;t2
T2;T2
Tales from the Crypt ;tftc
Tales of the Arabian Nights ;totan
totan;totan
Taxi ;taxi
Teenage Mutant Ninja Turtles ;tmnt
Terminator 3 ;term3
T3;term3
Theatre of Magic ;tom
Time Fantasy ;tmfnt
Time Machine ;tmac
Time Warp ;tmwrp
Tommy The Pinball Wizard ;tomy
Totem ;totem
Transporter The Rescue ;tsptr
Tri Zone ;trizn
Trigon ;Trigon
Tron Legacy ;trn
Truck Stop ;trucksp3
Twilight Zone ;tz
Twister ;twst
Vector ;vectora
Vernes World ;vrnwrld
Viper Night Drivin ;viprsega
Voltan Escapes Cosmic Doom ;voltanc
Walking Dead The ;twd
Whirlwind ;whirl
Whitewater ;ww
Who Dunnit ;wd
Wild Fyre ;wildfyre
Wipe Out ;wipeout
Wizard Of Oz ;null
World Cup Soccer 94 ;wcs
WWF Royal Rumble ;wwfr
XFiles ;xfiles
XMen ;xmen
Xs And Os ;xandosa
big game;biggame
